S.No.,Description,Sub Class,Class,Group,Division,Section
15,"Cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables related business activity",1132,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
15,"Services related to cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables",1132,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
16,Growing of onion,1133,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
16,Onion related business activity,1133,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
16,Services related to onion,1133,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
17,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)",1134,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
17,"Carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded) related business activity",1134,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
17,"Services related to carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)",1134,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
18,"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams",1135,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
18,"Potatoes and other tubers such as sweet potatoes, cassava, yams related business activity",1135,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
18,"Services related to potatoes and other tubers such as sweet potatoes, cassava, yams",1135,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
19,Growing of mushrooms and truffles,1136,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
19,Mushrooms and truffles related business activity,1136,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
19,Services related to mushrooms and truffles,1136,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
20,Growing of vegetable seeds (except beet seed),1137,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
20,Vegetable seeds (except beet seed) related business activity,1137,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
20,Services related to vegetable seeds (except beet seed),1137,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
21,"Growing of vegetables, n.e.c.",1139,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
21,"Vegetables, n.e.c. related business activity",1139,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
21,"Services related to vegetables, n.e.c.",1139,113,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
22,Growing of sugar cane,1140,114,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
22,Sugar cane related business activity,1140,114,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
22,Services related to sugar cane,1140,114,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
23,Growing of tobacco,1150,115,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
23,Tobacco related business activity,1150,115,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
23,Services related to tobacco,1150,115,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
24,Growing of cotton,1161,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
24,Cotton related business activity,1161,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
24,Services related to cotton,1161,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
25,Growing of jute,1162,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
25,Jute related business activity,1162,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
25,Services related to jute,1162,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
26,Growing of other fibre crops,1169,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
26,Other fibre crops related business activity,1169,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
26,Services related to other fibre crops,1169,116,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
27,Growing of rose,1191,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
27,Rose related business activity,1191,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
27,Services related to rose,1191,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
28,Growing of gladiolus,1192,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
28,Gladiolus related business activity,1192,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
28,Services related to gladiolus,1192,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
29,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds",1193,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
29,"Other flowers, including cut flowers, flower buds and flower seeds related business activity",1193,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
29,"Services related to other flowers, including cut flowers, flower buds and flower seeds",1193,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
30,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c.",1199,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
30,"Other non-perennial crops including beet seed and padding materials, n.e.c. related business activity",1199,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
30,"Services related to other non-perennial crops including beet seed and padding materials, n.e.c.",1199,119,11,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
31,Growing of grapes,1210,121,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
31,Grapes related business activity,1210,121,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
31,Services related to grapes,1210,121,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
32,Growing of mangoes,1221,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
32,Mangoes related business activity,1221,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
32,Services related to mangoes,1221,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
33,Growing of bananas,1222,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
33,Bananas related business activity,1222,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
33,Services related to bananas,1222,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
34,Growing of pineapples,1223,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
34,Pineapples related business activity,1223,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
34,Services related to pineapples,1223,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
35,Growing of lichchis,1224,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
35,Lichchis related business activity,1224,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
35,Services related to lichchis,1224,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
36,Growing of guava,1225,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
36,Guava related business activity,1225,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
36,Services related to guava,1225,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
37,Growing of other tropical and sub tropical fruits,1229,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
37,Other tropical and sub tropical fruits related business activity,1229,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
37,Services related to other tropical and sub tropical fruits,1229,122,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
38,Growing of oranges,1231,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
38,Oranges related business activity,1231,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
38,Services related to oranges,1231,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
39,Growing of mousambi (grape fruit),1232,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
39,Mousambi (grape fruit) related business activity,1232,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
39,Services related to mousambi (grape fruit),1232,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
40,Growing of lemons and lime,1233,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
40,Lemons and lime related business activity,1233,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
40,Services related to lemons and lime,1233,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
41,Growing of other citrus fruits,1239,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
41,Other citrus fruits related business activity,1239,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
41,Services related to other citrus fruits,1239,123,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
42,Growing of apples,1241,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
42,Apples related business activity,1241,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
42,Services related to apples,1241,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
43,"Growing of appricots, peaches and nectarines",1242,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
43,"Appricots, peaches and nectarines related business activity",1242,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
43,"Services related to appricots, peaches and nectarines",1242,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
44,Growing of cherries and sour cherries,1243,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
44,Cherries and sour cherries related business activity,1243,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
44,Services related to cherries and sour cherries,1243,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
45,Growing of other pome fruits and stone fruits,1249,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
45,Other pome fruits and stone fruits related business activity,1249,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
45,Services related to other pome fruits and stone fruits,1249,124,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
46,Growing of strawberries and other berries,1251,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
46,Strawberries and other berries related business activity,1251,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
46,Services related to strawberries and other berries,1251,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
47,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)",1252,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
47,"Edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts) related business activity",1252,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
47,"Services related to edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, walnuts and other nuts)",1252,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
48,"Growing of other tree and bush fruits, n.e.c.",1259,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
48,"Other tree and bush fruits, n.e.c. related business activity",1259,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
48,"Services related to other tree and bush fruits, n.e.c.",1259,125,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
49,Growing of coconut,1261,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
49,Coconut related business activity,1261,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
49,Services related to coconut,1261,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
50,Growing of olives and oil palms,1262,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
50,Olives and oil palms related business activity,1262,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
50,Services related to olives and oil palms,1262,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
51,Growing of other oleaginous fruits,1269,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
51,Other oleaginous fruits related business activity,1269,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
51,Services related to other oleaginous fruits,1269,126,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
52,Growing of tea,1271,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
52,Tea related business activity,1271,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
52,Services related to tea,1271,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
53,Growing of coffee,1272,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
53,Coffee related business activity,1272,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
53,Services related to coffee,1272,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
54,Growing of cocoa,1273,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
54,Cocoa related business activity,1273,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
54,Services related to cocoa,1273,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
55,Growing of other beverage crops,1279,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
55,Other beverage crops related business activity,1279,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
55,Services related to other beverage crops,1279,127,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
56,Growing of ginger,1281,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
56,Ginger related business activity,1281,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
56,Services related to ginger,1281,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
57,Growing of chili,1282,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
57,Chili related business activity,1282,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
57,Services related to chili,1282,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
58,Growing of cardamoms,1283,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
58,Cardamoms related business activity,1283,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
58,Services related to cardamoms,1283,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
59,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)",1284,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
59,"Perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops) related business activity",1284,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
59,"Services related to perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)",1284,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
60,Growing of drug and narcotic crops,1285,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
60,Drug and narcotic crops related business activity,1285,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
60,Services related to drug and narcotic crops,1285,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
61,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",1286,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
61,"Plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes related business activity",1286,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
61,"Services related to plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",1286,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
62,Growing of heena leaves (mehendi),1287,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
62,Heena leaves (mehendi) related business activity,1287,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
62,Services related to heena leaves (mehendi),1287,128,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
63,Growing of rubber trees,1291,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
63,Rubber trees related business activity,1291,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
63,Services related to rubber trees,1291,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
64,Growing of trees for extraction of sap,1292,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
64,Trees for sap related business activity,1292,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
64,Services related to trees for sap,1292,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
65,Growing of bamboo and cane,1293,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
65,Bamboo and cane related business activity,1293,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
65,Services related to bamboo and cane,1293,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
66,"Growing of other perennial crops, n.e.c.",1299,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
66,"Other perennial crops, n.e.c. related business activity",1299,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
66,"Services related to other perennial crops, n.e.c.",1299,129,12,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
67,Growing of plants for planting,1301,130,13,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
67,Plants for planting related business activity,1301,130,13,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
67,Services related to plants for planting,1301,130,13,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
68,Raising and breeding of cattle and buffaloes,1411,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
68,Raising and breeding cattle and buffaloes related business activity,1411,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
68,Services related to raising and breeding cattle and buffaloes,1411,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
69,Production of milk from cows or buffaloes,1412,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
69,Milk from cows or buffaloes related business activity,1412,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
69,Services related to milk from cows or buffaloes,1412,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
70,Production of bovine semen,1413,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
70,Bovine semen related business activity,1413,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
70,Services related to bovine semen,1413,141,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
71,Raising and breeding of camels and camelids,1430,143,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
71,Raising and breeding camels and camelids related business activity,1430,143,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
71,Services related to raising and breeding camels and camelids,1430,143,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
72,Raising and breeding of sheep and goats,1441,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
72,Raising and breeding sheep and goats related business activity,1441,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
72,Services related to raising and breeding sheep and goats,1441,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
73,Production of milk from sheep or goat,1442,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
73,Milk from sheep or goat related business activity,1442,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
73,Services related to milk from sheep or goat,1442,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
74,Production of raw wool,1443,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
74,Raw wool related business activity,1443,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
74,Services related to raw wool,1443,144,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
75,Raising of swine/pigs (including breeding of swine/pigs),1450,145,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
75,Raising swine/pigs (including breeding swine/pigs) related business activity,1450,145,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
75,Services related to raising swine/pigs (including breeding swine/pigs),1450,145,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
76,"Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls",1461,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
76,"Raising and breeding chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls related business activity",1461,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
76,"Services related to raising and breeding chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls",1461,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
77,Production of eggs,1462,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
77,Eggs related business activity,1462,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
77,Services related to eggs,1462,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
78,Operation of poultry hatcheries,1463,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
78,Operation poultry hatcheries related business activity,1463,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
78,Services related to operation poultry hatcheries,1463,146,14,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing"
