text,nic_code,nic_label,division
i am doing cable tv operator,61103,Activities of cable operators,IT Services
knitting hosiery unit,13913,Manufacture of knitted synthetic fabrics,Manufacturing
industry: weighing machine manufacturing in india,28194,Manufacture of weighing machinery,Manufacturing
paper manufacturing,17013,Manufacture of paper,Manufacturing
i run a agricultural equipment making in my city,28212,Manufacture of agricultural machinery,Manufacturing
i own a machine repair workshop for domestic market,33121,Repair of engines and turbines,Manufacturing
surgical instrument making,32504,Manufacture of bone plates and syringes,Manufacturing
i am doing solar energy plant in my village,35105,Electric power generation using solar energy,Energy
sugarcane cultivation,1140,Growing of sugar cane,Agriculture
industry: aquaculture freshwater at home,3221,Fish farming in freshwater,Agriculture
advertising agency as msme,73100,Advertising,Professional
i run a plastic chair table making in my village,22202,Manufacture of plastic household articles,Manufacturing
we have a milk production in india,1412,Production of milk from cows or buffaloes,Agriculture
industry: we grow onion as msme,1133,Growing of onion,Agriculture
placement agency hr for domestic market,78100,Activities of employment placement agencies,Services
the company is engaged in event catering for export,56210,Event catering,Hospitality
we do i grow onions and tomatoes in my village,1132,Growing of fruit-bearing vegetables,Agriculture
my work is rubber product manufacturing as msme,22191,Manufacture of rubber plates and tubes,Manufacturing
tailoring unit for domestic market,14105,Custom tailoring,Manufacturing
i do i make bread as msme,10711,Manufacture of bread,Manufacturing
i am doing ayurvedic clinic in my village,86901,Activities of Ayurveda practitioners,Healthcare
business activity: cutting tool manufacturing,25931,Manufacture of cutlery,Manufacturing
this unit is involved in chili farming in india,1282,Growing of chili,Agriculture
furniture making wood on small scale,31001,Manufacture of furniture of wood,Manufacturing
i do auto parts manufacturing,29301,Manufacture of motor vehicle parts,Manufacturing
business activity: coconut farming in my city,1261,Growing of coconut,Agriculture
our business is spice grinding and processing for domestic market,10795,Grinding and processing of spices,Manufacturing
we are into ceramic tile manufacturing in india,23921,Manufacture of bricks,Manufacturing
we deal in marble quarrying as msme,8101,Quarrying of marble,Mining
bakery products for local market,10712,Manufacture of biscuits and cakes,Manufacturing
i make clothes on small scale,14101,Manufacture of textile garments,Manufacturing
we make electric vehicles on small scale,29101,Manufacture of passenger cars,Manufacturing
i run a fireworks manufacturing for export,20292,Manufacture of explosives and fireworks,Manufacturing
soft drink manufacturing,11045,Manufacture of soft drinks,Manufacturing
this unit is involved in granite quarrying in india,8102,Quarrying of granite,Mining
i do flour mill in india,10611,Flour milling,Manufacturing
the company is engaged in glass bangle making for local market,23106,Manufacture of glass bangles,Manufacturing
we deal in fertilizer manufacturing in india,20121,Manufacture of urea and organic fertilizers,Manufacturing
i run a nursing home for domestic market,86100,Hospital activities,Healthcare
rice cultivation in irrigated fields,1121,Organic farming of basmati rice,Agriculture
the company is engaged in i make pickles as msme,10306,Manufacture of pickles and chutney,Manufacturing
we are into newspaper printing,18111,Printing of newspapers,Manufacturing
our business is aluminium product making,24202,Manufacture of aluminium products,Manufacturing
we have a i run a rice mill for local market,10612,Rice milling,Manufacturing
kirana store for local market,47211,Retail sale of food products,Trade
i make soap at home,20231,Manufacture of soap all forms,Manufacturing
industry: market research,73200,Market research and public opinion polling,Professional
industry: surgical cotton bandage making,21006,Manufacture of medical wadding gauze bandages,Manufacturing
iodized salt processing,10798,Processing of salt into food grade salt,Manufacturing
silk weaving,13122,Weaving of silk fabrics,Manufacturing
we deal in civil construction contractor on small scale,41001,Construction of buildings,Construction
industry: building construction in my city,41001,Construction of buildings,Construction
i own a i grow cotton at home,1161,Growing of cotton,Agriculture
i make bread,10711,Manufacture of bread,Manufacturing
business activity: chocolate making for local market,10732,Manufacture of chocolate,Manufacturing
i do we produce eggs for local market,1462,Production of eggs,Agriculture
we deal in trucking business as msme,49231,Motorised road freight transport,Transport
paper bag making for export,17024,Manufacture of sacks and bags of paper,Manufacturing
pharmacy medical shop on small scale,47721,Retail sale of pharmaceuticals,Healthcare
sports goods manufacturing in india,32300,Manufacture of sports goods,Manufacturing
i own a toothpaste manufacturing,20235,Manufacture of dental hygiene preparations,Manufacturing
rubber product manufacturing,22191,Manufacture of rubber plates and tubes,Manufacturing
i do general store for domestic market,47190,Other retail sale in non-specialized stores,Trade
we deal in bakery products for domestic market,10712,Manufacture of biscuits and cakes,Manufacturing
we are into civil construction contractor for local market,41001,Construction of buildings,Construction
beauty parlour salon,96020,Hairdressing and other beauty treatment,Services
cosmetics making for domestic market,20237,Manufacture of cosmetics and toileteries,Manufacturing
our business is medical device manufacturing for domestic market,32504,Manufacture of medical instruments,Manufacturing
i do auto parts manufacturing as msme,29301,Manufacture of motor vehicle parts,Manufacturing
tea packing business,10791,Processing and blending of tea,Manufacturing
this unit is involved in highway building for local market,42101,Construction of highways and roads,Construction
sugarcane farming for local market,1140,Growing of sugar cane,Agriculture
industry: i grow coconuts in india,1261,Growing of coconut,Agriculture
we have a furniture making wood for domestic market,31001,Manufacture of furniture of wood,Manufacturing
i am doing we make plastic bags,22203,Manufacture of plastic articles for packing,Manufacturing
i run a coal mining for local market,5101,Opencast mining of hard coal,Mining
plumbing work,43221,Installation of plumbing,Construction
this unit is involved in farmer growing wheat in punjab for domestic market,1111,Growing of wheat,Agriculture
i run a medicine pharmacy,47721,Retail sale of pharmaceuticals,Trade
our business is onion farming in nashik,1133,Growing of onion,Agriculture
weighing machine manufacturing,28194,Manufacture of weighing machinery,Manufacturing
industry: power loom,13121,Weaving of cotton fabrics,Manufacturing
i own a doctor medical practice,86201,Medical practice activities,Healthcare
we export organic basmati rice,1121,Organic farming of basmati rice,Agriculture
i run a knife scissors making at home,25931,Manufacture of cutlery,Manufacturing
our business is fertilizer manufacturing,20121,Manufacture of urea and organic fertilizers,Manufacturing
we do wire and cable manufacturing in my city,27320,Manufacture of wires and cables,Manufacturing
the company is engaged in advertising agency at home,73100,Advertising,Professional
tea plantation,1271,Growing of tea,Agriculture
ice cream manufacturing for local market,10505,Manufacture of ice cream,Manufacturing
hardware shop,47522,Retail sale of hardware,Trade
my work is i grow rice for export,1121,Organic farming of basmati rice,Agriculture
the company is engaged in i grow coconuts,1261,Growing of coconut,Agriculture
we do paint manufacturing,20221,Manufacture of paints and varnishes,Manufacturing
we are into my business is wheat cultivation,1111,Growing of wheat,Agriculture
we are into i grow onions and tomatoes in my city,1132,Growing of fruit-bearing vegetables,Agriculture
we are into shoe making for domestic market,15201,Manufacture of leather footwear,Manufacturing
we are into computer training centre at home,85491,Academic tutoring services,Education
truck transport for local market,49231,Motorised road freight transport,Transport
we deal in garment stitching on small scale,14101,Manufacture of textile garments,Manufacturing
i am doing tiffin catering service as msme,56291,Activities of food service contractors,Hospitality
noodles and pasta manufacturing in india,10740,Manufacture of macaroni and noodles,Manufacturing
i own a i make soap at home,20231,Manufacture of soap all forms,Manufacturing
my work is brick manufacturing as msme,23921,Manufacture of bricks,Manufacturing
my work is silk weaving at home,13122,Weaving of silk fabrics,Manufacturing
we deal in we grind spices in my village,10795,Grinding and processing of spices,Manufacturing
our business is we mine coal in my village,5102,Belowground mining of hard coal,Mining
handmade soap business in my city,20231,Manufacture of soap all forms,Manufacturing
i run a leather bag making on small scale,15121,Manufacture of travel goods and bags,Manufacturing
we do aerated drinks manufacturing for domestic market,11041,Manufacture of aerated drinks,Manufacturing
saree weaving,13122,Weaving of silk fabrics,Manufacturing
we are into warehouse storage,52102,Warehousing non-refrigerated,Transport
my work is medicine pharmacy at home,47721,Retail sale of pharmaceuticals,Trade
the company is engaged in i grow wheat on my farm in india,1111,Growing of wheat,Agriculture
i do paper manufacturing as msme,17013,Manufacture of paper,Manufacturing
electricity distribution for domestic market,35109,Collection and distribution of electric energy,Energy
business activity: electronic component making in india,26101,Manufacture of electronic components,Manufacturing
i am doing security guard agency in my city,80100,Private security activities,Services
hospital clinic for local market,86100,Hospital activities,Healthcare
i run a graphic design,74103,Services of graphic designers,Professional
we are into we make electric vehicles for export,29101,Manufacture of passenger cars,Manufacturing
wind energy farm,35106,Electric power generation non conventional,Energy
i own a cargo handling,52241,Cargo handling for land transport,Transport
coaching class tuition,85491,Academic tutoring services,Education
i make wooden furniture on small scale,31001,Manufacture of furniture of wood,Manufacturing
i run a honey production in my village,1492,Bee-keeping and production of honey,Agriculture
furniture shop,47591,Retail sale of household furniture,Trade
i run a we make fruit juice as msme,10304,Manufacture of fruit juices,Manufacturing
business activity: plastic bag making for domestic market,22203,Manufacture of plastic articles for packing,Manufacturing
the company is engaged in we weave cotton fabric,13121,Weaving of cotton fabrics,Manufacturing
the company is engaged in bus transport service in india,49221,Long distance bus services,Transport
we do milk production as msme,1412,Production of milk from cows or buffaloes,Agriculture
plastic bag making,22203,Manufacture of plastic articles for packing,Manufacturing
the company is engaged in mutual fund agent in my city,66301,Management of mutual funds,Finance
computer assembly,26201,Manufacture of desktop and laptop computers,Manufacturing
i run a pharmacy medical shop,47721,Retail sale of pharmaceuticals,Healthcare
business activity: vegetable fruit shop for domestic market,47212,Retail sale of fresh fruit and vegetables,Trade
the company is engaged in web design in my village,62012,Web page designing,IT Services
we are into perfume making,20234,Manufacture of perfumes,Manufacturing
the company is engaged in i grow rice as msme,1121,Organic farming of basmati rice,Agriculture
internet service provider on small scale,61104,Activities providing internet access,IT Services
the company is engaged in fish farming at home,3221,Fish farming in freshwater,Agriculture
repair shop electronics for local market,95210,Repair of consumer electronics,Services
business activity: egg production farm in india,1462,Production of eggs,Agriculture
my work is security guard agency for export,80100,Private security activities,Services
my work is matchbox making,20291,Manufacture of matches,Manufacturing
we deal in chocolate making on small scale,10732,Manufacture of chocolate,Manufacturing
my work is vehicle repair garage at home,45200,Maintenance and repair of motor vehicles,Trade
electrical installation at home,43211,Installation of electrical wiring,Construction
we are into cold storage warehouse as msme,52101,Warehousing of refrigerated goods,Transport
i own a leather bag making for export,15121,Manufacture of travel goods and bags,Manufacturing
sugarcane farming,1140,Growing of sugar cane,Agriculture
my work is repair shop electronics in my village,95210,Repair of consumer electronics,Services
the company is engaged in mobile app development in my city,62011,Writing computer programs,IT Services
i own a we make jaggery gur for domestic market,10722,Manufacture of gur from sugarcane,Manufacturing
sewing machine manufacturing,28265,Manufacture of sewing machines,Manufacturing
electric fan manufacturing for export,27503,Manufacture of electric fans,Manufacturing
fish processing for export,10204,Processing and preserving of fish,Manufacturing
copper wire making as msme,24201,Manufacture of copper products,Manufacturing
i am doing shipping agent for export,52292,Activities of shipping cargo agents,Transport
business activity: agarbatti incense sticks making for local market,20238,Manufacture of agarbatti,Manufacturing
i am doing i make soap at home,20231,Manufacture of soap all forms,Manufacturing
this unit is involved in i grow wheat on my farm,1111,Growing of wheat,Agriculture
business activity: cable tv operator for local market,61103,Activities of cable operators,IT Services
painting contractor in my village,43303,Interior and exterior painting,Construction
we do wooden toy making in india,32401,Manufacture of dolls and toy animals,Manufacturing
private school in my city,85211,General school education first stage,Education
this unit is involved in masala powder making,10795,Grinding and processing of spices,Manufacturing
we make washing powder for domestic market,20233,Manufacture of detergent,Manufacturing
apiary business for local market,1492,Bee-keeping and production of honey,Agriculture
we make indian sweets,10734,Manufacture of sweetmeats,Manufacturing
i do fish processing at home,10204,Processing and preserving of fish,Manufacturing
i run a clothing shop for export,47711,Retail sale of readymade garments,Trade
travel agency,52291,Activities of travel agents,Transport
business activity: i make bread for local market,10711,Manufacture of bread,Manufacturing
tailoring alteration for export,95292,Repair and alteration of clothing,Services
the company is engaged in poultry meat processing in my city,10104,Poultry slaughtering and preparation,Manufacturing
i run a mineral water plant in my city,11043,Manufacture of mineral water,Manufacturing
we weave cotton fabric,13121,Weaving of cotton fabrics,Manufacturing
industry: i grow mangoes,1221,Growing of mangoes,Agriculture
i run a skill training institute iti,85221,Technical and vocational education,Education
my work is agarbatti incense sticks making in my city,20238,Manufacture of agarbatti,Manufacturing
we do rice mill in my city,10612,Rice milling,Manufacturing
we are into glass bangle making,23106,Manufacture of glass bangles,Manufacturing
mango orchard,1221,Growing of mangoes,Agriculture
iron and steel plant for domestic market,24101,Manufacture of pig iron,Manufacturing
the company is engaged in basmati rice farming in my city,1121,Organic farming of basmati rice,Agriculture
this unit is involved in rice milling unit as msme,10612,Rice milling,Manufacturing
we do i run a rice mill in my city,10612,Rice milling,Manufacturing
industry: honey production on small scale,1492,Bee-keeping and production of honey,Agriculture
business activity: electronic component making for domestic market,26101,Manufacture of electronic components,Manufacturing
i do carpet making on small scale,13931,Manufacture of carpets of cotton,Manufacturing
this unit is involved in chocolate making for domestic market,10732,Manufacture of chocolate,Manufacturing
we have a pickle making,10306,Manufacture of pickles and chutney,Manufacturing
this unit is involved in driving school,85223,Professional motor driving school,Education
dairy farming as msme,1412,Production of milk from cows or buffaloes,Agriculture
we are into we dry and pack fish in my city,10201,Sun-drying of fish,Manufacturing
house construction,41001,Construction of buildings,Construction
taxi cab service as msme,49224,Taxi operation,Transport
goat farming,1441,Raising and breeding of sheep and goats,Agriculture
business activity: sweet shop making mithai as msme,10734,Manufacture of sweetmeats,Manufacturing
dentist,86202,Dental practice activities,Healthcare
industry: fertilizer manufacturing in my village,20121,Manufacture of urea and organic fertilizers,Manufacturing
i run a rice mill,10612,Rice milling,Manufacturing
event management,82300,Organization of conventions and trade shows,Services
i am doing computer assembly as msme,26201,Manufacture of desktop and laptop computers,Manufacturing
we produce eggs,1462,Production of eggs,Agriculture
newspaper printing at home,18111,Printing of newspapers,Manufacturing
the company is engaged in civil engineer consultant for local market,71100,Architectural and engineering activities,Professional
business activity: dal mill for domestic market,10613,Dal (pulses) milling,Manufacturing
my work is handmade soap business for domestic market,20231,Manufacture of soap all forms,Manufacturing
industry: coal mining in my city,5101,Opencast mining of hard coal,Mining
this unit is involved in doctor medical practice,86201,Medical practice activities,Healthcare
i own a we cultivate wheat crops in my village,1111,Growing of wheat,Agriculture
i do fast food centre at home,56102,Cafeterias and fast food restaurants,Hospitality
jam jelly making,10305,Manufacture of sauces jams and jellies,Manufacturing
we have a papad making unit for export,10796,Manufacture of papads and appalam,Manufacturing
we deal in saree weaving,13122,Weaving of silk fabrics,Manufacturing
industry: mobile app development in india,62011,Writing computer programs,IT Services
we do auto rickshaw for local market,49224,Taxi operation,Transport
my work is cable tv operator for domestic market,61103,Activities of cable operators,IT Services
we have a sugarcane cultivation on small scale,1140,Growing of sugar cane,Agriculture
we have a i make papad in my city,10796,Manufacture of papads and appalam,Manufacturing
we are into i make clothes for local market,14101,Manufacture of textile garments,Manufacturing
vehicle repair garage on small scale,45200,Maintenance and repair of motor vehicles,Trade
coal mining,5101,Opencast mining of hard coal,Mining
mobile phone repair,95120,Repair of communication equipment,Services
hair oil shampoo manufacturing,20236,Manufacture of hair oil and shampoo,Manufacturing
aquaculture freshwater,3221,Fish farming in freshwater,Agriculture
we deal in printing press in india,18112,Printing of books and magazines,Manufacturing
i do packaging printing,18119,Printing activities,Manufacturing
i am doing basmati rice farming at home,1121,Organic farming of basmati rice,Agriculture
i do juice shop on small scale,56303,Fruit juice bars,Hospitality
i run a spectacle frame making in india,22206,Manufacture of spectacle frames of plastic,Manufacturing
we cultivate wheat crops,1111,Growing of wheat,Agriculture
farmer growing wheat in punjab at home,1111,Growing of wheat,Agriculture
i do ayurvedic medicine making in my city,21003,Manufacture of ayurvedic pharmaceutical preparations,Manufacturing
we are into advertising agency,73100,Advertising,Professional
i grow rice,1121,Organic farming of basmati rice,Agriculture
my work is cutting tool manufacturing,25931,Manufacture of cutlery,Manufacturing
we have a fashion designer for local market,74101,Fashion design,Professional
pest control,81299,Other building and industrial cleaning,Services
cleaning services,81210,General cleaning of buildings,Services
we do i grow potatoes as msme,1135,Growing of potatoes and tubers,Agriculture
two wheeler manufacturing,30911,Manufacture of motorcycles and scooters,Manufacturing
industry: fashion designer for domestic market,74101,Fashion design,Professional
i own a jaggery making for local market,10722,Manufacture of gur from sugarcane,Manufacturing
fertilizer manufacturing,20121,Manufacture of urea and organic fertilizers,Manufacturing
noodles and pasta manufacturing in my city,10740,Manufacture of macaroni and noodles,Manufacturing
we are into toy making in my village,32401,Manufacture of dolls and toy animals,Manufacturing
civil engineer consultant,71100,Architectural and engineering activities,Professional
i own a car manufacturing in my city,29101,Manufacture of passenger cars,Manufacturing
clothing shop,47711,Retail sale of readymade garments,Trade
packaging printing as msme,18119,Printing activities,Manufacturing
we do milk powder making as msme,10502,Manufacture of milk powder,Manufacturing
the company is engaged in i make shoes chappal for domestic market,15201,Manufacture of leather footwear,Manufacturing
the company is engaged in car manufacturing at home,29101,Manufacture of passenger cars,Manufacturing
this unit is involved in milk production,1412,Production of milk from cows or buffaloes,Agriculture
industry: auto parts manufacturing for local market,29301,Manufacture of motor vehicle parts,Manufacturing
we are into plastic product manufacturing,22201,Manufacture of semi-finished plastic products,Manufacturing
our business is bicycle repair,95291,Repair of bicycles,Services
i am doing accountant ca firm as msme,69201,Accounting and auditing activities,Finance
industry: tea plantation,1271,Growing of tea,Agriculture
i run a i do fishing in sea as msme,3111,Fishing in ocean and coastal waters,Agriculture
fish farming,3221,Fish farming in freshwater,Agriculture
we have a cotton farming,1161,Growing of cotton,Agriculture
grocery shop,47211,Retail sale of cereals and pulses,Trade
our business is taxi cab service for local market,49224,Taxi operation,Transport
i am doing nursing home,86100,Hospital activities,Healthcare
mango orchard in my city,1221,Growing of mangoes,Agriculture
mango orchard at home,1221,Growing of mangoes,Agriculture
we do insurance agent in my village,66220,Activities of insurance agents and brokers,Finance
business activity: banana farming as msme,1222,Growing of bananas,Agriculture
i am doing photocopying shop on small scale,82191,Photocopying and duplicating services,Services
this unit is involved in chakki flour mill for domestic market,10611,Flour milling,Manufacturing
business activity: shoe making,15201,Manufacture of leather footwear,Manufacturing
we are into two wheeler manufacturing in my village,30911,Manufacture of motorcycles and scooters,Manufacturing
repair shop electronics,95210,Repair of consumer electronics,Services
my work is gas agency cylinder,35202,Distribution and sale of gaseous fuels,Energy
we have a mobile app development,62011,Writing computer programs,IT Services
business activity: sweet shop making mithai in my village,10734,Manufacture of sweetmeats,Manufacturing
industry: banana farming in india,1222,Growing of bananas,Agriculture
prawn farming in india,3221,Fish farming in freshwater,Agriculture
zari work business,13992,Zari work and ornamental trimmings,Manufacturing
we make indian sweets in my village,10734,Manufacture of sweetmeats,Manufacturing
packaging printing,18119,Printing activities,Manufacturing
i am doing canteen mess for export,56292,Operation of canteens,Hospitality
petrol pump,47300,Retail sale of automotive fuel,Trade
i do medicine pharmacy in india,47721,Retail sale of pharmaceuticals,Trade
my work is dentist in my city,86202,Dental practice activities,Healthcare
i run a handmade soap business on small scale,20231,Manufacture of soap all forms,Manufacturing
we deal in mobile phone shop in my village,47414,Retail sale of telecommunication equipment,Trade
business activity: sand quarrying in my city,8106,Operation of sand or gravel pits,Mining
business activity: pottery making for domestic market,23931,Manufacture of articles of porcelain and pottery,Manufacturing
jaggery making in india,10722,Manufacture of gur from sugarcane,Manufacturing
we have a poultry farming for export,1461,Raising and breeding of poultry,Agriculture
we mine coal on small scale,5102,Belowground mining of hard coal,Mining
this unit is involved in mango farming in konkan in my village,1221,Growing of mangoes,Agriculture
i run a hardware shop,47522,Retail sale of hardware,Trade
mutual fund agent,66301,Management of mutual funds,Finance
the company is engaged in rice milling unit as msme,10612,Rice milling,Manufacturing
we do we assemble mobile phones,26305,Manufacture of pagers cellular phones,Manufacturing
